지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
가평고등학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 가평읍 호반로 2601,경기도 가평군 가평읍 대곡리 66-2번지,37.817707,127.513298,8394,10175,Y,031-580-7004,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
가평종합운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316번지,37.824973,127.507289,17805,21582,Y,031-8078-8047,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
가평중학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 가평읍 광장로 10,경기도 가평군 가평읍 대곡리 273번지,37.827018,127.510185,5625,16818,Y,031-580-3003,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
목동초등학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 북면 석장모루길 13,경기도 가평군 북면 이곡리 13-45번지,37.879362,127.548206,6257,7584,Y,031-581-0612,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
미원초등학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 설악면 신천중앙로120번길 11,경기도 가평군 설악면 신천리 439-2번지,37.679487,127.490211,2816,3413,Y,031-584-2953,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
상면초등학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 상면 청군로 700-22,경기도 가평군 상면 임초리 445-3번지,37.775705,127.371303,3774,4575,Y,031-585-0978,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
설악중고등학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 설악면 한양부로 21-1,경기도 가평군 설악면 신천리 72번지,37.681837,127.493955,3714,4502,Y,031-584-7778,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
조종생활체육공원,지진대피소,옥외대피장소,공원,,경기도 가평군 조종면 현리 420-13,37.817281,127.351908,15171,18389,Y,031-8078-8090,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
조종초등학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 조종면 조종새싹로 13-9,경기도 가평군 조종면 현리 276번지,37.821008,127.348857,3761,4559,Y,031-585-0581,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
청평중학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 청평면 골안길 7,경기도 가평군 청평면 청평리 288번지,37.743045,127.422127,3843,4658,Y,031-584-2390,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
청평초등학교운동장,지진대피소,옥외대피장소,운동장,경기도 가평군 청평면 잠곡로 27,경기도 가평군 청평면 청평리 395번지,37.737709,127.421593,3948,4785,Y,031-584-4285,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 가평군청,031-580-4949,2023-06-05
가람중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화신로 122,경기도 고양시 덕양구 행신동 927번지,37.62366015,126.8412088,5560,1685,Y,031-930-4806,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
가람초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 행신로311번길 78,경기도 고양시 덕양구 행신동 926번지,37.62371918,126.8422019,6510,1973,Y,031-973-0324,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
가좌초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 가좌2로 31,경기도 고양시 일산서구 가좌동 1099번지,37.68848153,126.7213648,3818,1157,Y,031-922-6044,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
고양고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 삼송로 171,경기도 고양시 덕양구 삼송동 45-2번지,37.65423828,126.8908698,2800,848,Y,02-350-5700,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
고양관산초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 통일로726번길 130,경기도 고양시 덕양구 관산동 995번지,37.69212289,126.866569,2312,701,Y,031-969-8438,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
